Samples	guidi_all_kmeans_3	guidi_all_kmeans_4	guidi_all_kmeans_5	guidi_all_kmeans_6	guidi_all_kmeans_7	guidi_all_kmeans_8	clr_guidi_all_kmeans_3	clr_guidi_all_kmeans_4	clr_guidi_all_kmeans_5	clr_guidi_all_kmeans_6	clr_guidi_all_kmeans_7	clr_guidi_all_kmeans_8	M0_all_kmeans_3	M0_all_kmeans_4	M0_all_kmeans_5	M0_all_kmeans_6	M0_all_kmeans_7	M0_all_kmeans_8	clr_M0_all_kmeans_3	clr_M0_all_kmeans_4	clr_M0_all_kmeans_5	clr_M0_all_kmeans_6	clr_M0_all_kmeans_7	clr_M0_all_kmeans_8	M1_all_kmeans_3	M1_all_kmeans_4	M1_all_kmeans_5	M1_all_kmeans_6	M1_all_kmeans_7	M1_all_kmeans_8	clr_M1_all_kmeans_3	clr_M1_all_kmeans_4	clr_M1_all_kmeans_5	clr_M1_all_kmeans_6	clr_M1_all_kmeans_7	clr_M1_all_kmeans_8	salazar_all_kmeans_3	salazar_all_kmeans_4	salazar_all_kmeans_5	salazar_all_kmeans_6	salazar_all_kmeans_7	salazar_all_kmeans_8	clr_salazar_all_kmeans_3	clr_salazar_all_kmeans_4	clr_salazar_all_kmeans_5	clr_salazar_all_kmeans_6	clr_salazar_all_kmeans_7	clr_salazar_all_kmeans_8	stress_all_kmeans_3	stress_all_kmeans_4	stress_all_kmeans_5	stress_all_kmeans_6	stress_all_kmeans_7	stress_all_kmeans_8	clr_stress_all_kmeans_3	clr_stress_all_kmeans_4	clr_stress_all_kmeans_5	clr_stress_all_kmeans_6	clr_stress_all_kmeans_7	clr_stress_all_kmeans_8
S19_Z09	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	2	3	3	0	0	1	0	2	1	3	4	3	2	2	2	1	6	5	0	1	4	3	0	6
S20_Z00	1	2	3	5	1	1	1	2	4	2	2	2	2	1	1	5	1	4	0	1	4	1	4	1	1	1	1	3	4	2	0	1	1	5	2	2	0	1	4	2	2	5	1	3	4	2	2	0	1	2	2	3	1	1	2	0	2	1	1	1
S20_Z01	1	2	3	5	1	1	1	2	4	2	2	2	2	1	1	0	1	1	0	1	4	1	4	1	1	1	1	1	1	2	0	1	1	5	2	2	0	3	4	2	2	5	1	3	4	2	2	0	1	0	3	0	5	3	2	0	2	1	1	1
S20_Z03	1	3	0	4	4	0	2	1	0	0	5	3	2	0	4	5	4	2	1	2	1	1	3	2	1	0	4	3	2	1	2	2	2	2	1	1	2	3	3	0	0	1	1	2	4	2	2	0	1	2	2	3	1	1	1	3	3	4	3	7
S20_Z05	0	3	0	1	0	5	2	0	3	5	0	1	0	0	4	1	0	3	1	3	3	0	3	0	0	0	4	2	0	3	2	3	0	3	0	0	2	3	3	0	0	1	0	2	3	4	4	7	1	2	2	1	6	1	1	2	3	2	5	3
S20_Z07	2	0	1	0	5	6	0	0	3	5	0	1	1	3	3	3	6	7	2	3	3	5	1	0	2	3	2	5	5	5	1	3	4	3	0	0	2	2	0	4	4	0	2	0	3	4	6	4	0	3	1	2	3	0	0	3	4	3	3	6
S20_Z09	0	1	2	3	0	5	0	0	3	1	0	4	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	0	3	0	2	3	0	3	0	4	0	3	3	0	6	2	0	2	1	3	1	3	2	1	0	1	2	5	2	0	2	1	4	4
S21_Z01	1	2	3	5	1	1	1	2	4	2	2	2	2	1	1	0	1	1	0	1	4	1	4	1	1	1	1	1	1	2	0	1	1	5	2	2	0	1	4	2	2	5	1	3	4	2	2	0	1	0	3	0	5	3	1	2	1	2	5	3
S21_Z05	2	0	1	0	5	6	0	0	3	5	0	1	1	3	3	3	6	7	2	3	3	0	3	0	2	3	2	5	5	5	2	3	0	3	0	0	2	2	0	4	4	1	2	0	0	1	0	5	1	2	2	3	1	1	1	3	0	4	3	7
S21_Z07	2	0	1	0	5	6	0	0	2	5	0	1	1	3	3	3	6	7	2	3	2	5	1	0	2	3	2	5	5	5	1	3	4	1	0	0	2	2	0	4	4	0	2	0	3	4	6	4	0	3	1	2	3	0	0	1	4	3	0	6
S21_Z09	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	0	3	3	0	6	2	2	0	3	4	4	4	2	1	0	1	6	5	0	1	4	3	0	6
S24_Z00	0	3	0	4	2	0	1	2	4	4	2	2	0	0	4	1	5	4	0	1	4	1	4	1	0	2	0	2	4	4	0	1	1	0	2	7	0	1	1	3	1	6	1	1	2	5	3	2	2	2	2	1	6	5	1	2	1	0	2	2
S24_Z01	1	3	0	1	4	0	2	1	0	0	1	1	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	1	5	2	3	3	0	0	1	1	1	2	5	3	2	1	2	2	3	1	1	1	3	0	4	3	7
S24_Z03	0	1	2	1	0	5	2	1	0	0	0	1	0	2	0	1	0	3	1	3	1	0	3	0	0	2	0	2	0	3	2	3	0	3	0	5	0	3	3	0	0	2	0	2	1	3	1	1	2	1	0	1	6	5	1	2	1	2	2	3
S24_Z05	0	3	0	1	0	5	2	0	3	1	0	1	0	0	4	1	0	3	2	3	3	0	3	0	1	0	4	2	0	1	2	3	0	3	0	5	2	3	3	0	0	1	0	2	1	3	1	7	2	2	2	1	6	5	1	3	0	4	3	7
